p_canon	seed	model	subject	corr	mae	brier
0.60	42	Static	S1	nan	0.406734	0.165433
0.60	42	Static	S2	nan	0.300000	0.116821
0.60	42	Static	S3	nan	0.183333	0.062638
0.60	42	Static	S4	nan	0.419291	0.175805
0.60	42	Static	S5	nan	0.285297	0.104695
0.60	42	Static	S6	nan	0.275360	0.101112
0.60	42	Independent	S1	nan	0.406671	0.166174
0.60	42	Independent	S2	0.997968	0.243015	0.076087
0.60	42	Independent	S3	-0.127903	0.185594	0.064317
0.60	42	Independent	S4	nan	0.419160	0.178054
0.60	42	Independent	S5	0.881045	0.243259	0.075658
0.60	42	Independent	S6	0.631255	0.250726	0.089317
0.60	42	TimeGlobal	S1	nan	0.406355	0.166084
0.60	42	TimeGlobal	S2	0.925886	0.269074	0.096929
0.60	42	TimeGlobal	S3	0.852029	0.159838	0.053081
0.60	42	TimeGlobal	S4	nan	0.419200	0.176633
0.60	42	TimeGlobal	S5	0.971179	0.262277	0.089704
0.60	42	TimeGlobal	S6	0.896537	0.251767	0.088955
0.60	42	TimeInteractive	S1	nan	0.407162	0.167518
0.60	42	TimeInteractive	S2	0.998616	0.247019	0.078707
0.60	42	TimeInteractive	S3	0.315170	0.171343	0.059328
0.60	42	TimeInteractive	S4	nan	0.422266	0.179245
0.60	42	TimeInteractive	S5	0.802190	0.255246	0.080680
0.60	42	TimeInteractive	S6	0.686654	0.251952	0.087968
0.60	43	Static	S1	nan	0.386830	0.149637
0.60	43	Static	S2	nan	0.300000	0.116722
0.60	43	Static	S3	nan	0.183333	0.070148
0.60	43	Static	S4	nan	0.397742	0.158198
0.60	43	Static	S5	nan	0.277312	0.096203
0.60	43	Static	S6	nan	0.276199	0.102257
0.60	43	Independent	S1	nan	0.386832	0.150445
0.60	43	Independent	S2	0.824838	0.234559	0.081634
0.60	43	Independent	S3	0.893404	0.169382	0.061670
0.60	43	Independent	S4	nan	0.397721	0.159651
0.60	43	Independent	S5	0.213648	0.276962	0.093149
0.60	43	Independent	S6	0.786048	0.245673	0.084035
0.60	43	TimeGlobal	S1	nan	0.386766	0.150087
0.60	43	TimeGlobal	S2	0.782966	0.278943	0.103970
0.60	43	TimeGlobal	S3	0.689189	0.171542	0.064125
0.60	43	TimeGlobal	S4	nan	0.397850	0.158788
0.60	43	TimeGlobal	S5	0.901689	0.261788	0.086900
0.60	43	TimeGlobal	S6	0.878441	0.259644	0.093967
0.60	43	TimeInteractive	S1	nan	0.385944	0.149768
0.60	43	TimeInteractive	S2	0.872249	0.232860	0.078993
0.60	43	TimeInteractive	S3	0.902119	0.171295	0.064403
0.60	43	TimeInteractive	S4	nan	0.398682	0.159561
0.60	43	TimeInteractive	S5	0.369889	0.271217	0.088942
0.60	43	TimeInteractive	S6	0.783780	0.244956	0.083973
0.60	44	Static	S1	nan	0.365687	0.133727
0.60	44	Static	S2	nan	0.300000	0.116691
0.60	44	Static	S3	nan	0.183333	0.063725
0.60	44	Static	S4	nan	0.400215	0.160172
0.60	44	Static	S5	nan	0.282786	0.101901
0.60	44	Static	S6	nan	0.282029	0.110559
0.60	44	Independent	S1	nan	0.365681	0.134932
0.60	44	Independent	S2	0.673758	0.243238	0.089822
0.60	44	Independent	S3	0.781192	0.158956	0.044267
0.60	44	Independent	S4	nan	0.400334	0.162790
0.60	44	Independent	S5	0.899501	0.235420	0.068228
0.60	44	Independent	S6	0.542354	0.273166	0.101444
0.60	44	TimeGlobal	S1	nan	0.365718	0.134996
0.60	44	TimeGlobal	S2	0.863523	0.265881	0.095054
0.60	44	TimeGlobal	S3	0.872987	0.160503	0.051129
0.60	44	TimeGlobal	S4	nan	0.400211	0.161520
0.60	44	TimeGlobal	S5	0.839501	0.263955	0.086539
0.60	44	TimeGlobal	S6	0.752822	0.262525	0.098486
0.60	44	TimeInteractive	S1	nan	0.364389	0.134148
0.60	44	TimeInteractive	S2	0.703674	0.250097	0.091310
0.60	44	TimeInteractive	S3	0.805718	0.157655	0.046478
0.60	44	TimeInteractive	S4	nan	0.400434	0.162684
0.60	44	TimeInteractive	S5	0.831859	0.242596	0.071124
0.60	44	TimeInteractive	S6	0.432498	0.278650	0.103255
0.70	42	Static	S1	nan	0.310915	0.096668
0.70	42	Static	S2	nan	0.300000	0.116741
0.70	42	Static	S3	nan	0.183333	0.049583
0.70	42	Static	S4	nan	0.297797	0.088683
0.70	42	Static	S5	nan	0.265125	0.085455
0.70	42	Static	S6	nan	0.253685	0.075939
0.70	42	Independent	S1	nan	0.311025	0.097777
0.70	42	Independent	S2	0.994973	0.170129	0.039921
0.70	42	Independent	S3	0.908199	0.142576	0.034365
0.70	42	Independent	S4	nan	0.298045	0.090875
0.70	42	Independent	S5	0.943360	0.169901	0.037530
0.70	42	Independent	S6	0.867784	0.197839	0.053167
0.70	42	TimeGlobal	S1	nan	0.310937	0.099838
0.70	42	TimeGlobal	S2	0.972634	0.239038	0.077840
0.70	42	TimeGlobal	S3	0.929392	0.126183	0.030213
0.70	42	TimeGlobal	S4	nan	0.297992	0.091597
0.70	42	TimeGlobal	S5	0.976382	0.218950	0.057585
0.70	42	TimeGlobal	S6	0.908242	0.207635	0.054093
0.70	42	TimeInteractive	S1	nan	0.313000	0.099116
0.70	42	TimeInteractive	S2	0.992194	0.167794	0.040188
0.70	42	TimeInteractive	S3	0.895684	0.139855	0.033023
0.70	42	TimeInteractive	S4	nan	0.298838	0.091479
0.70	42	TimeInteractive	S5	0.927689	0.175493	0.038741
0.70	42	TimeInteractive	S6	0.877304	0.205190	0.055672
0.70	43	Static	S1	nan	0.274885	0.075562
0.70	43	Static	S2	nan	0.300000	0.116925
0.70	43	Static	S3	nan	0.183333	0.059133
0.70	43	Static	S4	nan	0.296747	0.088059
0.70	43	Static	S5	nan	0.262221	0.083288
0.70	43	Static	S6	nan	0.260738	0.083202
0.70	43	Independent	S1	nan	0.274865	0.075707
0.70	43	Independent	S2	0.955156	0.181330	0.049760
0.70	43	Independent	S3	0.949234	0.137646	0.036953
0.70	43	Independent	S4	nan	0.296693	0.088820
0.70	43	Independent	S5	0.818669	0.208792	0.053245
0.70	43	Independent	S6	0.964507	0.181582	0.048162
0.70	43	TimeGlobal	S1	nan	0.275200	0.077894
0.70	43	TimeGlobal	S2	0.951340	0.245357	0.082156
0.70	43	TimeGlobal	S3	0.867758	0.143334	0.042210
0.70	43	TimeGlobal	S4	nan	0.297061	0.090532
0.70	43	TimeGlobal	S5	0.994046	0.218236	0.058496
0.70	43	TimeGlobal	S6	0.971643	0.215526	0.062454
0.70	43	TimeInteractive	S1	nan	0.271955	0.074338
0.70	43	TimeInteractive	S2	0.945352	0.181199	0.049781
0.70	43	TimeInteractive	S3	0.845892	0.136877	0.039580
0.70	43	TimeInteractive	S4	nan	0.297621	0.088960
0.70	43	TimeInteractive	S5	0.850849	0.206747	0.053217
0.70	43	TimeInteractive	S6	0.964041	0.179101	0.046581
0.70	44	Static	S1	nan	0.276143	0.076255
0.70	44	Static	S2	nan	0.300000	0.116681
0.70	44	Static	S3	nan	0.183333	0.053912
0.70	44	Static	S4	nan	0.301804	0.091086
0.70	44	Static	S5	nan	0.271032	0.090330
0.70	44	Static	S6	nan	0.257817	0.080086
0.70	44	Independent	S1	nan	0.276120	0.076710
0.70	44	Independent	S2	0.942905	0.172594	0.048596
0.70	44	Independent	S3	0.944872	0.116183	0.023394
0.70	44	Independent	S4	nan	0.301724	0.091649
0.70	44	Independent	S5	0.980647	0.185039	0.043650
0.70	44	Independent	S6	0.968992	0.203248	0.056230
0.70	44	TimeGlobal	S1	nan	0.276124	0.078988
0.70	44	TimeGlobal	S2	0.972515	0.235332	0.076189
0.70	44	TimeGlobal	S3	0.937855	0.128353	0.032957
0.70	44	TimeGlobal	S4	nan	0.301744	0.094069
0.70	44	TimeGlobal	S5	0.962786	0.223581	0.061491
0.70	44	TimeGlobal	S6	0.919360	0.210396	0.057661
0.70	44	TimeInteractive	S1	nan	0.278170	0.077631
0.70	44	TimeInteractive	S2	0.914304	0.170930	0.049684
0.70	44	TimeInteractive	S3	0.951342	0.114743	0.024750
0.70	44	TimeInteractive	S4	nan	0.302340	0.091893
0.70	44	TimeInteractive	S5	0.962483	0.190515	0.044941
0.70	44	TimeInteractive	S6	0.948281	0.209802	0.058518
0.75	42	Static	S1	nan	0.258715	0.066933
0.75	42	Static	S2	nan	0.300000	0.116668
0.75	42	Static	S3	nan	0.183333	0.049598
0.75	42	Static	S4	nan	0.239891	0.057548
0.75	42	Static	S5	nan	0.256335	0.079362
0.75	42	Static	S6	nan	0.243197	0.066794
0.75	42	Independent	S1	nan	0.258681	0.068621
0.75	42	Independent	S2	0.999079	0.145362	0.028002
0.75	42	Independent	S3	0.989345	0.122483	0.027562
0.75	42	Independent	S4	nan	0.239945	0.058523
0.75	42	Independent	S5	0.963147	0.140880	0.026162
0.75	42	Independent	S6	0.911708	0.166292	0.036621
0.75	42	TimeGlobal	S1	nan	0.258721	0.071030
0.75	42	TimeGlobal	S2	0.981969	0.222683	0.067658
0.75	42	TimeGlobal	S3	0.942057	0.117428	0.025448
0.75	42	TimeGlobal	S4	nan	0.239929	0.061060
0.75	42	TimeGlobal	S5	0.973876	0.198076	0.045513
0.75	42	TimeGlobal	S6	0.904979	0.186421	0.041216
0.75	42	TimeInteractive	S1	nan	0.251395	0.064384
0.75	42	TimeInteractive	S2	0.997669	0.150868	0.030369
0.75	42	TimeInteractive	S3	0.979594	0.127512	0.028606
0.75	42	TimeInteractive	S4	nan	0.235016	0.055793
0.75	42	TimeInteractive	S5	0.971771	0.138813	0.024573
0.75	42	TimeInteractive	S6	0.907316	0.165343	0.035205
0.75	43	Static	S1	nan	0.215145	0.046288
0.75	43	Static	S2	nan	0.300000	0.116925
0.75	43	Static	S3	nan	0.183333	0.051272
0.75	43	Static	S4	nan	0.233727	0.054628
0.75	43	Static	S5	nan	0.257618	0.080165
0.75	43	Static	S6	nan	0.251549	0.073916
0.75	43	Independent	S1	nan	0.215198	0.046485
0.75	43	Independent	S2	0.982773	0.151675	0.033625
0.75	43	Independent	S3	0.975993	0.106268	0.023295
0.75	43	Independent	S4	nan	0.233637	0.055874
0.75	43	Independent	S5	0.930972	0.172271	0.035840
0.75	43	Independent	S6	0.994421	0.153824	0.032577
0.75	43	TimeGlobal	S1	nan	0.215483	0.049320
0.75	43	TimeGlobal	S2	0.975692	0.226140	0.070387
0.75	43	TimeGlobal	S3	0.895463	0.121824	0.029212
0.75	43	TimeGlobal	S4	nan	0.234132	0.057928
0.75	43	TimeGlobal	S5	0.988329	0.197072	0.047572
0.75	43	TimeGlobal	S6	0.971761	0.192042	0.047844
0.75	43	TimeInteractive	S1	nan	0.223365	0.050106
0.75	43	TimeInteractive	S2	0.980767	0.151221	0.033657
0.75	43	TimeInteractive	S3	0.941836	0.112227	0.025269
0.75	43	TimeInteractive	S4	nan	0.241737	0.059729
0.75	43	TimeInteractive	S5	0.966337	0.168068	0.036371
0.75	43	TimeInteractive	S6	0.999808	0.163338	0.034230
0.75	44	Static	S1	nan	0.223905	0.050133
0.75	44	Static	S2	nan	0.300000	0.116673
0.75	44	Static	S3	nan	0.183333	0.051771
0.75	44	Static	S4	nan	0.250040	0.062520
0.75	44	Static	S5	nan	0.265153	0.085476
0.75	44	Static	S6	nan	0.243200	0.066796
0.75	44	Independent	S1	nan	0.223896	0.050612
0.75	44	Independent	S2	0.951541	0.136882	0.033989
0.75	44	Independent	S3	0.942904	0.103587	0.019578
0.75	44	Independent	S4	nan	0.250003	0.062922
0.75	44	Independent	S5	0.974803	0.164901	0.035067
0.75	44	Independent	S6	0.994959	0.156308	0.032504
0.75	44	TimeGlobal	S1	nan	0.223924	0.053662
0.75	44	TimeGlobal	S2	0.986919	0.216626	0.064888
0.75	44	TimeGlobal	S3	0.938223	0.115559	0.026474
0.75	44	TimeGlobal	S4	nan	0.250026	0.066605
0.75	44	TimeGlobal	S5	0.971113	0.201226	0.049955
0.75	44	TimeGlobal	S6	0.944191	0.182789	0.040053
0.75	44	TimeInteractive	S1	nan	0.224398	0.050598
0.75	44	TimeInteractive	S2	0.953911	0.143970	0.035904
0.75	44	TimeInteractive	S3	0.930029	0.107881	0.019875
0.75	44	TimeInteractive	S4	nan	0.251662	0.063594
0.75	44	TimeInteractive	S5	0.967745	0.170107	0.036852
0.75	44	TimeInteractive	S6	0.984190	0.157897	0.032556
0.85	42	Static	S1	nan	0.153092	0.023437
0.85	42	Static	S2	nan	0.300000	0.116672
0.85	42	Static	S3	nan	0.183333	0.045381
0.85	42	Static	S4	nan	0.135211	0.018282
0.85	42	Static	S5	nan	0.242999	0.072774
0.85	42	Static	S6	nan	0.222777	0.054669
0.85	42	Independent	S1	nan	0.152871	0.024029
0.85	42	Independent	S2	0.999434	0.092093	0.010959
0.85	42	Independent	S3	0.988945	0.069692	0.011481
0.85	42	Independent	S4	nan	0.135098	0.019079
0.85	42	Independent	S5	0.994219	0.080375	0.008352
0.85	42	Independent	S6	0.977572	0.102229	0.013662
0.85	42	TimeGlobal	S1	nan	0.153037	0.027381
0.85	42	TimeGlobal	S2	0.985937	0.182849	0.047836
0.85	42	TimeGlobal	S3	0.957270	0.084610	0.013335
0.85	42	TimeGlobal	S4	nan	0.135115	0.021414
0.85	42	TimeGlobal	S5	0.973256	0.157026	0.028218
0.85	42	TimeGlobal	S6	0.936983	0.145600	0.022505
0.85	42	TimeInteractive	S1	nan	0.153421	0.024451
0.85	42	TimeInteractive	S2	0.998440	0.096949	0.011614
0.85	42	TimeInteractive	S3	0.974557	0.072268	0.012562
0.85	42	TimeInteractive	S4	nan	0.134704	0.019200
0.85	42	TimeInteractive	S5	0.992791	0.080258	0.008073
0.85	42	TimeInteractive	S6	0.981851	0.105785	0.013951
0.85	43	Static	S1	nan	0.145536	0.021181
0.85	43	Static	S2	nan	0.300000	0.116790
0.85	43	Static	S3	nan	0.183333	0.044068
0.85	43	Static	S4	nan	0.130076	0.016920
0.85	43	Static	S5	nan	0.243744	0.073058
0.85	43	Static	S6	nan	0.231500	0.058930
0.85	43	Independent	S1	nan	0.145528	0.021915
0.85	43	Independent	S2	0.986021	0.102038	0.014743
0.85	43	Independent	S3	0.997518	0.063290	0.007518
0.85	43	Independent	S4	nan	0.130077	0.017655
0.85	43	Independent	S5	0.980587	0.105370	0.013416
0.85	43	Independent	S6	0.991973	0.098317	0.012018
0.85	43	TimeGlobal	S1	nan	0.145871	0.024587
0.85	43	TimeGlobal	S2	0.992016	0.187022	0.048924
0.85	43	TimeGlobal	S3	0.946622	0.085069	0.013308
0.85	43	TimeGlobal	S4	nan	0.130382	0.019885
0.85	43	TimeGlobal	S5	0.971382	0.159119	0.030026
0.85	43	TimeGlobal	S6	0.953166	0.151714	0.026436
0.85	43	TimeInteractive	S1	nan	0.146315	0.022214
0.85	43	TimeInteractive	S2	0.986739	0.101291	0.014789
0.85	43	TimeInteractive	S3	0.998083	0.064228	0.007948
0.85	43	TimeInteractive	S4	nan	0.130151	0.017607
0.85	43	TimeInteractive	S5	0.987491	0.102188	0.012709
0.85	43	TimeInteractive	S6	0.989888	0.101011	0.012533
0.85	44	Static	S1	nan	0.131875	0.017391
0.85	44	Static	S2	nan	0.300000	0.117108
0.85	44	Static	S3	nan	0.183333	0.044752
0.85	44	Static	S4	nan	0.135124	0.018259
0.85	44	Static	S5	nan	0.245377	0.073714
0.85	44	Static	S6	nan	0.226478	0.056310
0.85	44	Independent	S1	nan	0.131886	0.017982
0.85	44	Independent	S2	0.991349	0.088456	0.014237
0.85	44	Independent	S3	0.980426	0.069633	0.007722
0.85	44	Independent	S4	nan	0.135146	0.019152
0.85	44	Independent	S5	0.995086	0.095346	0.010972
0.85	44	Independent	S6	0.988487	0.090719	0.011812
0.85	44	TimeGlobal	S1	nan	0.131831	0.020539
0.85	44	TimeGlobal	S2	0.987221	0.180486	0.047398
0.85	44	TimeGlobal	S3	0.955488	0.082168	0.012457
0.85	44	TimeGlobal	S4	nan	0.135177	0.021548
0.85	44	TimeGlobal	S5	0.969583	0.159741	0.029140
0.85	44	TimeGlobal	S6	0.935325	0.147949	0.023977
0.85	44	TimeInteractive	S1	nan	0.131992	0.018255
0.85	44	TimeInteractive	S2	0.990628	0.088836	0.014022
0.85	44	TimeInteractive	S3	0.980255	0.070771	0.008390
0.85	44	TimeInteractive	S4	nan	0.135089	0.018894
0.85	44	TimeInteractive	S5	0.988600	0.100931	0.011754
0.85	44	TimeInteractive	S6	0.988695	0.090459	0.011586
